title,description,country,year,important,keywords,link,image
Military reforms of Alexander II,"Military reforms of Alexander II - a series of transformations in the military sphere in 1856-1874. The bulk of the reforms were carried out starting in 1862 and ended with the introduction of universal military service in 1874. The most important author of military reforms, who led their implementation, was the Minister of War D. A. Milyutin , which is why they are often called “Milyutin reforms”.",Russia,1862,no,,,
January Uprising (Poland uprising),The January Uprising was an insurrection principally in Russia's Kingdom of Poland that was aimed at the restoration of the Polish–Lithuanian Commonwealth. It began on 22 January 1863 and continued until the last insurgents were captured by the Russian forces in 1864. It was the longest-lasting insurgency in partitioned Poland. The conflict engaged all levels of society and arguably had profound repercussions on contemporary international relations and ultimately provoked a social and ideological paradigm shift in national events that went on to have a decisive influence on the subsequent development of Polish society.,Russia,1863,no,,,
Invention of icebreaker ship,"The Russian ship Pilot of 1864 played a significant role as a precursor to modern icebreakers equipped with propellers. It possessed a sturdy metal hull and a distinctive rounded shape. It was commissioned by the renowned merchant and shipbuilder, Mikhail Britnev. One of the notable modifications made to the vessel was altering its bow to enhance its ice-clearing capabilities. With a 20° raise from the keel line, the Pilot could effectively push itself atop the ice and break through it. Britnev drew inspiration for the design of the ship's bow from the traditional Pomor boats that had successfully navigated the icy waters of the White Sea and Barents Sea for centuries.",Russia,1864,no,,,
Judicial reform of Alexander II,"The judicial reform of Alexander II is generally considered one of the most successful and consistent of all his reforms (along with the military reform). A completely new court system and order of legal proceedings were established. The reform included the establishment of the principle of equality of the parties involved, the introduction of public hearings, the jury trial, and the institution of professional advocacy that had never existed in Russia.",Russia,1864,no,,,
1865-1873: Russia incorporates Central Asian states,"The incorporation of Central Asian states, including the Khanate of Khiva, the Khanate of Kokand, and the Emirate of Bukhara, into the Russian Empire. In the 19th century, Russia expanded its influence and control over these territories through a series of military campaigns and diplomatic maneuvers.",Russia,1865,no,,,
Assassination attempt on Alexander II,"Alexander maintained a generally liberal course. Radicals complained he did not go far enough, and he became a target for numerous assassination plots, including one in 1866. The attempted assassination in 1866 started a more conservative period that lasted until his death. The Tsar made a series of new appointments, replacing liberal ministers with conservatives.",Russia,1866,no,,,
Sale of Alaska to USA,"The Sale of Alaska was the United States' acquisition of Alaska from the Russian Empire. Alaska was formally transferred to the United States on October 18, 1867, through a treaty ratified by the United States Senate.",Russia,1867,yes,,,
Battle of Zerabulak,"The battle on the Zerabulak heights is the decisive battle of the Russian army under the command of General Kaufman with the army of the Bukhara emir Muzaffar, which took place in June 1868, on the slopes of the Zera-tau mountain range, between Samarkand and Bukhara. It ended with the defeat of the Bukhara army, and the transition of the Bukhara Emirate to vassal dependence on the Russian Empire.",Russia,1868,no,,,
Invention of Periodic Table (Mendeleev),"Although other chemists had found some other versions of the periodic system at about the same time, Russian chemist Dmitri Mendeleev was the most dedicated to developing and defending his system, and it was his system that most impacted the scientific community. In 1869, Mendeleev began arranging the elements and comparing them by their atomic weights. He began with a few elements, and over the course of the day his system grew until it encompassed most of the known elements. After he found a consistent arrangement, his printed table appeared in May 1869 in the journal of the Russian Chemical Society.",Russia,1869,yes,,,
Statute on cities’ self-governance,"According to the statute, all-class elected bodies of city self-government were established. They were entrusted with the solution of administrative and economic issues: the improvement of the city, health care, public education, promoting the development of trade and industry, fighting fires. City dumas became administrative bodies of self-government, city councils became executive bodies.",Russia,1870,no,,,
The London Treaty of 1871,"As per the London Treaty, Russia and Turkey were allowed to have any number of warships in the Black Sea. Keeping the ban on the passage of Russian warships through the straits, the participants of the conference introduced a clause allowing Turkey to pass through them warships of friendly countries. Nevertheless, the London Treaty was a diplomatic victory for Russia, forcing a revision of the terms of the Paris Peace, which limited its sovereignty in the Black Sea.",Russia,1871,no,,,
Krenholm strike,The Krenholm strike is a large strike of textile workers of the Krenholm manufactory in 1872 in the city of Narva of the Russian Empire .,Russia,1872,no,,,
League of the Three Emperors,"On 22 October 1873, Bismarck negotiated an agreement between the monarchs of Austria-Hungary, Russia and Germany. The alliance sought to resurrect the Holy Alliance of 1815 and act as a bulwark against radical sentiments that the rulers found unsettling. It was preceded by the Schönbrunn Convention, signed by Russia and Austria–Hungary on 6 June 1873.",Russia,1873,yes,,,
Going to the People,"Going to the People was a populist movement in the Russian Empire. It was largely inspired by the work of Russian theorists such as Mikhail Bakunin and Pyotr Lavrov, who advocated that groups of dedicated revolutionaries could inspire a mass movement to overthrow the ruling class, especially as it concerned the peasantry. The anarchist Peter Kropotkin called the experience ""the mad summer of 1874”.",Russia,1874,no,,,
Treaty of Saint Petersburg (1875),"The Treaty of Saint Petersburg between the Empire of Japan and the Russian Empire, signed on 7 May 1875, stipulated that Japan cedes to Russia the part of Sakhalin island it then owned in exchange for the group of the Kuril Islands owned by Russia (between Iturup island and the Kamchatka Peninsula). Consequently, Sakhalin island as a whole became Russian territory, and the entire Kuril archipelago Japanese territory.",Russia,1875,no,,,
Kokand Khanate annexed,"In 1875, the rebels overthrew the Kokand Khan Khudoyar, who fled to Khojent. Trying to capture the former ruler, the Kokand detachments invaded the territory of the Turkestan Governor General. This led to a campaign of Russian troops against Kokand. In 1876, the territory of the Kokand Khanate became part of the Turkestan Governor General.",Russia,1876,no,,,
Russo-Turkish War (1877–1878),"The Russo-Turkish War of 1877–1878 was a conflict between the Ottoman Empire and a coalition led by the Russian Empire, and including Bulgaria, Romania, Serbia, and Montenegro. Fought in the Balkans and in the Caucasus, it originated in emerging 19th century Balkan nationalism. Additional factors included the Russian goals of recovering territorial losses endured during the Crimean War of 1853–56, re-establishing itself in the Black Sea and supporting the political movement attempting to free Balkan nations from the Ottoman Empire. The Russian-led coalition won the war, pushing the Ottomans back all the way to the gates of Constantinople, leading to the intervention of the western European great powers.",Russia,1877,no,,,
Congress of Berlin,"Under pressure from Great Britain and Austria, Russia agreed to revise the terms of the San Stefano peace at the Berlin Congress. Serbia, Romania and Montenegro retained their independence, but their territories were reduced in comparison with those determined by the Treaty of San Stefano. Only northern Bulgaria became an autonomous principality, Austria-Hungary occupied Bosnia and Herzegovina, England received Cyprus. Russia retained the mouth of the Danube, Ardagan and Kars, Bayazet returned to Turkey, Batum became a port free for trade.",Russia,1878,no,,,
People's Will terrorist group formed,"Narodnaya Volya (lit. 'People's Will') was a late 19th-century revolutionary socialist political organization and left-wing terrorist group operating in the Russian Empire, which conducted assassinations of government officials in an attempt to overthrow the autocratic Tsarist system. Composed primarily of young revolutionary socialist intellectuals believing in the efficacy of terrorism, Narodnaya Volya emerged in Autumn 1879 from the split of an earlier revolutionary organization called Zemlya i Volya (""Land and Liberty”). This group was responsible for carrying out a successful assassination attempt on Alexander II in 1881.",Russia,1879,no,,,
Conquest of the Akhal-Teke oasis in Turkmenistan,"The Akhal-Teke Expedition, also known as the Battle of Geok-Tepe, was a military campaign conducted by the Russian army to conquer the territories of the Tekke Turkmen people. It took place between 1880 and 1881 in the territory of present-day Turkmenistan.",Russia,1880,no,,,
Discovery of vitamins,"In 1881, Russian medical doctor Nikolai I. Lunin studied the effects of scurvy at the University of Tartu. He fed mice an artificial mixture of all the separate constituents of milk known at that time, namely the proteins, fats, carbohydrates, and salts. The mice that received only the individual constituents died, while the mice fed by milk itself developed normally. He made a conclusion that ""a natural food such as milk must therefore contain, besides these known principal ingredients, small quantities of unknown substances essential to life.” These elements were vitamins.",Russia,1881,no,,,
Assassination of Alexander II,"During the years of his reign, the emperor survived several assassination attempts: in April 1866, in May 1867, in April and November 1879, in February 1880. The attempt, which became successful, was prepared by members of the Narodnaya Volya organization. The emperor was mortally wounded in a bomb explosion and died the same day in the Winter Palace. The attackers were arrested and executed.",Russia,1881,yes,,,
Labor statute 1882,"The statute of June 1, 1882, banned employment of children under the age of 12. For children aged 12-15, it limited their working hours to 8 hours per day (with no more than 4 consecutive hours) and prohibited night work (from 9 pm to 5 am) and work on Sundays. It also banned the use of child labor in hazardous industries. The owners of enterprises were required to ""provide the opportunity"" for children who did not have a certificate of completing at least one grade of elementary public school or an equivalent educational institution to attend school for at least 3 hours a day or 18 hours per week.",Russia,1882,no,,,
Emancipation of Labour Marxist group formed,"Emancipation of Labour was the first Russian Marxist group. It was founded in exile by Georgi Plekhanov, Vasily Ignatov, Vera Zasulich, Leo Deutsch, and Pavel Axelrod, at Geneva (Switzerland) in 1883. The group published the first Russian language translations of many works by Karl Marx and distributed them. It became the major adversary to the Narodniks on the left wing of politics in the Russian Empire.",Russia,1883,yes,,,
Catherine's railway,"A railroad in Donetsk region of the Russian Empire, finished in 1884, spanning 523 km from Donetsk coal mines to Russia’s southern ports on the Black Sea.",Russia,1884,no,,,
Labor statute 1885,"According to the statute titled ""On Prohibition of Night Work for Minors and Women at Factories and Manufactures”, night work was prohibited for adolescents under 17 years of age and women in cotton, linen, and wool factories. It came into effect on October 1, 1885. The Minister of Finance had the authority to extend the law to other industries, but it was only applied to hazardous work in porcelain and match production. In 1897, the law was extended to cover all textile production, including enterprises in the flax industry and the processing of mixed fabrics.",Russia,1885,no,,,
Inauguration of Trans-Caspian railway,"The Trans-Caspian Railway, completed in 1886, is a railway that follows the path of the Silk Road through much of western Central Asia. It was built by the Russian Empire during its expansion into Central Asia in the 19th century.",Russia,1886,no,,,
Reinsurance Treaty,"The Reinsurance Treaty was a diplomatic agreement between the German Empire and the Russian Empire that was in effect from 1887 to 1890. Only a handful of top officials in Berlin and St. Petersburg knew of its existence since it was so secret. The treaty played a critical role in German Chancellor Otto von Bismarck's extremely complex and ingenious network of alliances and agreements, which aimed to keep the peace in Europe and to maintain Germany's economic, diplomatic and political dominance. It helped keep the peace for both Russia and Germany.",Russia,1887,yes,,,
Borki train disaster,"The Borki train disaster occurred on October 29, 1888 (N.S.), near Borki station in the former Kharkov Governorate of the Russian Empire (present-day Birky, Chuhuiv Raion, Kharkiv Oblast, Ukraine), 295 kilometers south of Kursk, when the imperial train carrying Tsar Alexander III of Russia and his family from Crimea to Saint Petersburg derailed at high speed. Twenty-one people died at the scene and two later, and many others were injured. According to the official version of events, Alexander held the collapsed roof of the royal car on his shoulders while his family escaped the crash site uninjured.",Russia,1888,no,,,
Creation of Ussuri Cossack Host,"The Ussuri Cossack Host was created in 1889 on the basis of an unmounted half-battalion of the Amur Cossack Host and later reinforced with settlers from the Don Cossack Host, Kuban Cossack Host, and other Cossack hosts. The Ussuri Cossack Host headquarters was first located in Vladivostok and then in Iman (now Dalnerechensk). Its nakazny ataman (who was also the military governor of the region) subordinated to the Governor General of the Amur region, who, in turn, was the nakazny ataman of the Amur and the Ussuri Cossack Hosts.",Russia,1889,no,,,
Invention of Matryoshka doll (“Babushka” doll),"The first Russian nested doll set was made in 1890 by wood turning craftsman and wood carver Vasily Zvyozdochkin. Traditionally the outer layer is a woman, dressed in a sarafan, a long and shapeless traditional Russian peasant jumper dress. The figures inside may be of any gender; the smallest, innermost doll is typically a baby turned from a single piece of wood. Much of the artistry is in the painting of each doll, which can be very elaborate. The dolls often follow a theme; the themes may vary, from fairy tale characters to Soviet leaders. In some countries, matryoshka dolls are often referred to as babushka dolls, though they are not known by this name in Russian; babushka (бабушка) means ""grandmother"" or ""old woman"".",Russia,1890,no,,,
Construction of Trans-Siberian Railway begins,"The Trans-Siberian Railway connects European Russia to the Russian Far East. Spanning a length of over 9,289 kilometers (5,772 miles), it is the longest railway line in the world. It runs from the city of Moscow in the west to the city of Vladivostok in the east. During the period of the Russian Empire, government ministers—personally appointed by Alexander III and his son Nicholas II—supervised the building of the railway network between 1891 and 1916. Even before its completion, the line attracted travelers who documented their experiences. Since 1916, the Trans-Siberian Railway has directly connected Moscow with Vladivostok.",Russia,1891,no,,,
Alexander III’s Statute on cities’ self-governance,"The new statute of 1892 did further narrowed the circle of voters by introducing a property qualification and increased administrative control over the activities of urban self-government bodies, effectively countering Alexander II’s statute of 1870.",Russia,1892,no,,,
Law on the Restriction of Land Redistributions in the Peasant Commune,"The 1893 regulations restricted peasants' rights to general land redistributions (not more frequently than every 12 years), and private land redistributions were prohibited. Land redistributions came under the control of zemstvo district administrators. Peasants continued to engage in land redistribution in defiance of the law. In the early 20th century, communal land redistributions became less frequent.",Russia,1893,no,,,
Reign of Nicholas II begins,"Nicholas II was the last Emperor of Russia, King of Poland and Grand Duke of Finland, ruling from 1 November 1894 until his abdication on 15 March 1917. During his reign, Nicholas gave support to the economic and political reforms promoted by his prime ministers, Sergei Witte and Pyotr Stolypin. He advocated modernization based on foreign loans and close ties with France, but resisted giving the new parliament (the Duma) major roles. Ultimately, progress was undermined by Nicholas's commitment to autocratic rule, strong aristocratic opposition and defeats sustained by the Russian military in the Russo-Japanese War and World War I.",Russia,1894,yes,,,
Monetary reform,"As a result of the Monetary reform of 1895, Russia switched to the gold standard. The State Bank received the right to issue credit notes, exchangeable for gold without restrictions. Gold coins were put into circulation in denominations from 5 to 15 rubles. The reform strengthened the ruble exchange rate and improved the investment climate in the country.",Russia,1895,no,,,
Khodynka Tragedy,"The Khodynka Tragedy was a crowd crush that occurred in May 1896, on Khodynka Field in Moscow, Russia. The crush happened during the festivities after the coronation of the last Emperor of Russia, Nicholas II. While 1,282 corpses were collected from the scene, injury estimates range widely from 1,200 to 20,000.",Russia,1896,no,,,
1st Russian Empire Census,"The first general census of the population of the Russian Empire in 1897 was the first and only nation-wide census performed in the Russian Empire (excluding the Grand Duchy of Finland). It recorded demographic data as of 28 January 1897. The total population of the Russian Empire was recorded to be 125,640,021 people, 62,477,348 or 49.73% of whom were men and 63,162,673 or 50.27% were women—the median age was 21.16 years.",Russia,1897,yes,,,
1st Congress of the RSDLP (Lenin’s Party),"The Russian Social Democratic Labour Party was a socialist political party founded in 1898 in Minsk. Formed to unite the various revolutionary organizations of the Russian Empire into one party, the RSDLP split in 1903 into Bolsheviks (""majority"") and Mensheviks (""minority"") factions, with the Bolshevik faction eventually becoming the Communist Party of the Soviet Union.",Russia,1898,no,,,
Hague Convention of 1899,"The Hague Convention of 1899 was a series of international treaties and declarations negotiated at an international peace conference at The Hague in the Netherlands. It was among the first formal statements of the laws of war and war crimes in the body of secular international law. The First Hague Conference came from a proposal on 24 August 1898 by Russian Tsar Nicholas II.[8] Nicholas and Count Mikhail Nikolayevich Muravyov, his foreign minister, were instrumental in initiating the conference. The conference opened on 18 May 1899, the Tsar's birthday. The treaties, declarations, and final act of the conference were signed on 29 July of that year, and they entered into force on 4 September 1900.",Russia,1899,yes,,,
The Russian invasion of Manchuria,"The Russian invasion of Manchuria in 1900 refers to the military campaign launched by the Russian Empire during the Boxer Rebellion. As part of the Eight-Nation Alliance, Russia sent troops to Manchuria to suppress the Boxer uprising and protect its interests in the region. The Russian forces, along with troops from other countries, successfully occupied several strategic locations in Manchuria, including the city of Harbin. The invasion marked a significant expansion of Russian influence in Northeast Asia and contributed to the subsequent events leading to the Russo-Japanese War.",Russia,1900,no,,,
